level,text,characterInfo,,
1,"Hello there, I’m the all-mighty hive mind. ",,,
1,Nice to finally meet you.,,,
1,"Let’s start with something simple. Try to infect these poor, defenseless elders. ",elder,,
1,"You should be able to do this pretty easily, I hope.",elder,,
2,"These children are annoying, get them all.",student,,
2,Don’t tell me you’re getting soft.,student,,
2,They actually move faster and harder to get infected. So be wise,student,,
3,See the garbage bin? You can use them wisely. ,,,
3,"They are not human, but they can be touched to spread spores",,,
4,Those pathetic businessman.,,,
4,They think they are working on important stuff,,,
4,"From my side, they are just moving back and forth.",,,
4,And Die in vein.,,,
5,Do you think squirrels are cute?,,,
5,"They are cuter when you infect them, try it!",,,
6,Isn't the walls annoying for our career?,,,
6,"Try infect birds, they can bypass the wall",,,
